datestamp,dht22_humidity,dht22_temp
20220901_0000,63.0,22.1
20220901_0005,63.7,22.1
20220901_0010,63.8,22.1
20220901_0015,63.5,22.2
20220901_0020,63.5,22.1
20220901_0025,63.2,22.1
20220901_0030,63.5,22.1
20220901_0035,63.8,22.1
20220901_0040,63.7,22.1
20220901_0045,63.5,22.1
20220901_0100,63.5,22.1
20220901_0105,63.0,22.1
20220901_0110,63.3,22.1
20220901_0115,63.4,22.1
20220901_0120,63.5,22.1
20220901_0125,63.5,22.1
20220901_0130,63.5,22.1
20220901_0135,63.3,22.1
20220901_0140,63.2,22.1
20220901_0145,62.9,22.0
20220901_0150,63.0,22.0
20220901_0155,63.2,22.0
20220901_0200,63.4,22.0
20220901_0205,63.6,22.0
20220901_0210,64.0,22.0
20220901_0215,64.2,22.0
20220901_0220,64.3,22.0
20220901_0225,64.2,22.0
20220901_0230,64.3,22.0
20220901_0235,64.3,22.0
20220901_0240,63.3,22.0
20220901_0245,64.4,22.0
20220901_0250,64.5,22.0
20220901_0255,63.4,22.0
20220901_0305,64.7,22.0
20220901_0310,64.4,22.0
20220901_0315,64.8,22.0
20220901_0320,64.7,22.0
20220901_0325,64.7,22.0
20220901_0330,64.8,22.0
20220901_0345,64.5,22.0
20220901_0350,64.2,22.0
20220901_0355,63.9,22.0
20220901_0400,64.2,21.9
20220901_0405,64.2,21.9
20220901_0410,64.3,22.0
20220901_0415,64.4,21.9
20220901_0420,64.6,21.9
20220901_0425,64.4,21.9
20220901_0430,64.6,21.9
20220901_0435,64.4,21.9
20220901_0440,64.5,21.9
20220901_0445,64.5,21.9
20220901_0450,64.6,21.9
20220901_0455,64.5,21.9
20220901_0500,64.6,21.9
20220901_0505,64.6,21.9
20220901_0510,64.5,21.9
20220901_0515,64.5,21.9
20220901_0520,64.6,21.9
20220901_0525,64.3,21.9
20220901_0530,64.2,21.9
20220901_0535,61.3,21.8
20220901_0540,61.4,21.8
20220901_0545,59.2,21.8
20220901_0550,59.5,21.8
20220901_0555,58.9,21.8
20220901_0600,61.5,21.8
20220901_0605,62.0,21.8
20220901_0610,62.5,21.8
20220901_0615,62.4,21.8
20220901_0620,62.3,21.8
20220901_0625,62.6,21.8
20220901_0630,62.7,21.8
20220901_0635,62.5,21.8
20220901_0640,62.8,21.8
20220901_0650,62.3,21.8
20220901_0655,60.8,21.8
20220901_0700,62.1,21.8
20220901_0705,62.1,21.8
20220901_0710,62.5,21.8
20220901_0715,62.2,21.8
20220901_0725,62.3,21.8
20220901_0730,61.5,21.8
20220901_0735,61.9,21.9
20220901_0740,61.8,21.8
20220901_0745,61.8,21.8
20220901_0800,61.3,21.8
20220901_0805,61.6,21.8
20220901_0810,60.9,21.8
20220901_0815,61.3,21.8
20220901_0820,61.6,21.8
20220901_0825,59.9,21.8
20220901_0830,60.8,21.8
20220901_0835,60.8,21.8
20220901_0840,59.5,21.8
20220901_0845,59.2,21.8
20220901_0850,60.5,21.8
20220901_0900,60.4,21.8
20220901_0905,60.2,21.8
20220901_0910,60.6,21.8
20220901_0915,58.9,21.8
20220901_0920,59.6,21.8
20220901_0930,60.5,21.8
20220901_0935,59.5,21.8
20220901_0940,59.8,21.8
20220901_0945,59.9,21.8
20220901_0950,59.7,21.8
20220901_0955,59.3,21.8
20220901_1000,59.9,21.8
20220901_1010,59.9,21.9
20220901_1015,60.0,21.9
20220901_1020,58.6,21.9
20220901_1025,59.6,21.9
20220901_1030,60.0,21.9
20220901_1035,59.7,21.9
20220901_1040,58.5,21.9
20220901_1045,57.6,21.9
20220901_1050,58.2,22.0
20220901_1055,57.6,22.0
20220901_1100,57.3,22.0
20220901_1105,57.9,22.0
20220901_1110,57.5,22.0
20220901_1115,57.4,22.1
20220901_1120,57.7,22.1
20220901_1125,57.0,22.1
20220901_1130,57.3,22.1
20220901_1135,57.4,22.2
20220901_1140,56.7,22.2
20220901_1145,55.9,22.2
20220901_1150,56.1,22.2
20220901_1200,56.0,22.2
20220901_1210,56.2,22.3
20220901_1215,55.7,22.3
20220901_1220,56.0,22.4
20220901_1225,56.3,22.4
20220901_1230,56.7,22.4
20220901_1235,57.2,22.5
20220901_1240,57.6,19.3
20220901_1250,57.0,22.7
20220901_1255,57.0,22.7
20220901_1300,56.8,22.8
20220901_1305,57.1,22.8
20220901_1315,56.3,22.9
20220901_1320,55.6,22.9
20220901_1325,55.6,22.9
20220901_1330,54.6,22.9
20220901_1335,53.6,23.0
20220901_1340,55.5,23.0
20220901_1345,54.9,23.1
20220901_1355,54.4,23.1
20220901_1400,54.3,23.2
20220901_1405,54.0,23.2
20220901_1410,54.4,23.2
20220901_1415,53.7,23.2
20220901_1425,53.9,23.4
